legacy_pmid,correct_pmid,doi,title,identity_basis,canonical_pdf_filename,verified_on,classification
37219515,37265412,10.1158/1078-0432.CCR-23-0459,FDA Approval Summary: Selpercatinib for the Treatment of Advanced RET Fusion-Positive Solid Tumors,PubMed title/DOI/PMCID plus PDF title,Duke_FDA_Approval_Summary_Selpercatinib_for_the_Treatment_of_Advanced_RET_Fusion-Positive_Solid_Tumors_PMID37265412.pdf,2026-09-23,CCR Drug Updates; FDA approval summary / regulatory analysis
37154821,37227187,10.1158/1078-0432.CCR-23-0536,Targeting Replication Stress and Chemotherapy Resistance with a Combination of Sacituzumab Govitecan and Berzosertib: A Phase I Clinical Trial,PubMed title/DOI/PMCID plus PDF title,Abel_Targeting_Replication_Stress_and_Chemotherapy_Resistance_with_a_Combination_of_Sacituzumab_Govitec_PMID37227187.pdf,2026-09-23,Clinical Trials: Targeted Therapy; phase I clinical trial
